,equity,ret,turnover,long_n,short_n
2023-03-01 00:00:00+00:00,709047.3313788746,0.0038077111759484694,0.0,0,0
2023-03-02 00:00:00+00:00,710665.0526398234,0.002281541992130265,0.0,0,0
2023-03-03 00:00:00+00:00,712450.2124305001,0.002511956629984269,0.0,0,0
2023-03-06 00:00:00+00:00,723371.1415925064,0.015328691003894779,0.0,0,0
2023-03-07 00:00:00+00:00,718899.5545939773,-0.006181594400745505,0.0,0,0
2023-03-08 00:00:00+00:00,720489.1150111943,0.002211102242391405,0.0,0,0
2023-03-09 00:00:00+00:00,721521.7405235177,0.001433228470505643,0.0,0,0
2023-03-10 00:00:00+00:00,722459.0770507554,0.0012991105805870706,0.0,0,0
2023-03-13 00:00:00+00:00,720482.8197037203,-0.0027354592250438126,0.0,0,0
2023-03-14 00:00:00+00:00,716009.5730501213,-0.006208679140244366,0.0,0,0
2023-03-15 00:00:00+00:00,711967.3744699773,-0.005645453262481781,0.0,0,0
2023-03-16 00:00:00+00:00,704412.4011573864,-0.01061140381357395,0.0,0,0
2023-03-17 00:00:00+00:00,706328.9944541452,0.002720839800108177,0.0,0,0
2023-03-20 00:00:00+00:00,716223.0576772477,0.014007726287307065,0.0,0,0
2023-03-21 00:00:00+00:00,709871.7445776628,-0.008867786413052081,0.0,0,0
2023-03-22 00:00:00+00:00,713378.7703854147,0.004940365403384828,0.0,0,0
2023-03-23 00:00:00+00:00,715828.5869350927,0.003434103524491583,0.0,0,0
2023-03-24 00:00:00+00:00,720904.2916197845,0.007090670556234802,0.0,0,0
2023-03-27 00:00:00+00:00,716803.7371805282,-0.005688070506617238,0.0,0,0
2023-03-28 00:00:00+00:00,718301.73034043,0.0020898233117394582,0.0,0,0
2023-03-29 00:00:00+00:00,714292.2906734787,-0.005581832115385654,0.0,0,0
2023-03-30 00:00:00+00:00,711589.9606973483,-0.0037832271346264212,0.0,0,0
2023-03-31 00:00:00+00:00,711491.0367185384,-0.00013901823279383052,1.0,1,1
2023-04-03 00:00:00+00:00,716929.6355407006,0.007643945659871587,0.0,0,0
2023-04-04 00:00:00+00:00,704976.1981777279,-0.016673097010360904,0.0,0,0
2023-04-05 00:00:00+00:00,707296.069509443,0.0032907087327369577,0.0,0,0
2023-04-06 00:00:00+00:00,705990.3325584601,-0.0018460967157480912,0.0,0,0
2023-04-10 00:00:00+00:00,712686.2291851548,0.009484402714735829,0.0,0,0
2023-04-11 00:00:00+00:00,715236.1264932265,0.003577868076652946,0.0,0,0
2023-04-12 00:00:00+00:00,713844.6518310256,-0.0019454759213900497,0.0,0,0
2023-04-13 00:00:00+00:00,696740.4121313085,-0.02396073102998586,0.0,0,0
2023-04-14 00:00:00+00:00,700249.6920032377,0.005036710675636602,0.0,0,0
2023-04-17 00:00:00+00:00,702656.8299665939,0.003437542337890953,0.0,0,0
2023-04-18 00:00:00+00:00,712813.8962635227,0.014455230297002464,0.0,0,0
2023-04-19 00:00:00+00:00,709246.872731446,-0.0050041442103956335,0.0,0,0
2023-04-20 00:00:00+00:00,700412.9575491616,-0.012455345976025711,0.0,0,0
2023-04-21 00:00:00+00:00,689980.1406690043,-0.014895236828089464,0.0,0,0
2023-04-24 00:00:00+00:00,691419.6563642896,0.0020863146784044773,0.0,0,0
2023-04-25 00:00:00+00:00,693027.5996648814,0.0023255678165803317,0.0,0,0
2023-04-26 00:00:00+00:00,694327.4728089699,0.0018756441225675768,0.0,0,0
2023-04-27 00:00:00+00:00,681799.1331091269,-0.0180438484583626,0.0,0,0
2023-04-28 00:00:00+00:00,701912.8779564588,0.02950098331103712,0.0,0,0
2023-05-01 00:00:00+00:00,727912.4731049036,0.03704105732343832,0.0,0,0
2023-05-02 00:00:00+00:00,713464.9822129415,-0.019847840812970863,0.0,0,0
2023-05-03 00:00:00+00:00,708236.7284083745,-0.007327975352554361,0.0,0,0
2023-05-04 00:00:00+00:00,703984.0426567447,-0.006004610578707048,0.0,0,0
2023-05-05 00:00:00+00:00,712660.5166523925,0.01232481628831228,0.0,0,0
2023-05-08 00:00:00+00:00,717922.1818380698,0.007383129923337339,0.0,0,0
2023-05-09 00:00:00+00:00,708100.5743676891,-0.013680601768334855,0.0,0,0
2023-05-10 00:00:00+00:00,700136.8383626462,-0.01124661706729202,0.0,0,0
2023-05-11 00:00:00+00:00,690094.0514493786,-0.014344034427261176,0.0,0,0
2023-05-12 00:00:00+00:00,693126.071374219,0.0043936328946356795,0.0,0,0
2023-05-15 00:00:00+00:00,697667.7455883846,0.0065524504152052465,0.0,0,0
2023-05-16 00:00:00+00:00,693898.9090158654,-0.005402050756038168,0.0,0,0
2023-05-17 00:00:00+00:00,698934.783239713,0.007257360054060191,0.0,0,0
2023-05-18 00:00:00+00:00,708287.0059952982,0.013380680114724708,0.0,0,0
2023-05-19 00:00:00+00:00,709353.7732617661,0.0015061228815977934,0.0,0,0
2023-05-22 00:00:00+00:00,712138.6705217193,0.00392596383486854,0.0,0,0
2023-05-23 00:00:00+00:00,706627.0132694828,-0.007739584269730204,0.0,0,0
2023-05-24 00:00:00+00:00,699492.3477113311,-0.010096791410705297,0.0,0,0
2023-05-25 00:00:00+00:00,789966.6716003409,0.12934283582233985,0.0,0,0
2023-05-26 00:00:00+00:00,782461.8525709392,-0.009500171715090322,0.0,0,0
2023-05-30 00:00:00+00:00,789116.0552423708,0.00850418796720609,0.0,0,0
2023-05-31 00:00:00+00:00,770220.5641694394,-0.02394513575969237,0.0,1,1
2023-06-01 00:00:00+00:00,782932.5495171017,0.016504344260621195,0.0,0,0
2023-06-02 00:00:00+00:00,773852.8369562328,-0.01159705592323268,0.0,0,0
2023-06-05 00:00:00+00:00,769048.1995778496,-0.006208722316352944,0.0,0,0
2023-06-06 00:00:00+00:00,759952.878795549,-0.0118267239781501,0.0,0,0
2023-06-07 00:00:00+00:00,764509.2989980035,0.00599566148058539,0.0,0,0
2023-06-08 00:00:00+00:00,765544.0954739066,0.0013535433476863368,0.0,0,0
2023-06-09 00:00:00+00:00,770654.5198022687,0.006675545352091694,0.0,0,0
2023-06-12 00:00:00+00:00,767928.4044269647,-0.0035374026950538706,0.0,0,0
2023-06-13 00:00:00+00:00,782631.9477410535,0.019147023640909255,0.0,0,0
2023-06-14 00:00:00+00:00,802213.2951517635,0.025019867215015257,0.0,0,0
2023-06-15 00:00:00+00:00,796814.9791418009,-0.0067292776654135356,0.0,0,0
2023-06-16 00:00:00+00:00,802256.91550042,0.006829611015194859,0.0,0,0
2023-06-20 00:00:00+00:00,811815.7215417222,0.011914893915672575,0.0,0,0
2023-06-21 00:00:00+00:00,807811.8301412882,-0.004932020031381157,0.0,0,0
2023-06-22 00:00:00+00:00,790410.5170161058,-0.021541295232255897,0.0,0,0
2023-06-23 00:00:00+00:00,785405.125824941,-0.0063326475083616,0.0,0,0
2023-06-26 00:00:00+00:00,776805.9669989219,-0.010948692010364747,0.0,0,0
2023-06-27 00:00:00+00:00,783054.2395418274,0.00804354344373115,0.0,0,0
2023-06-28 00:00:00+00:00,776382.1549474928,-0.008520590602048794,0.0,0,0
2023-06-29 00:00:00+00:00,777026.4830287595,0.0008299109879854605,0.0,0,0
2023-06-30 00:00:00+00:00,783639.4384661003,0.00851059208633953,0.0,1,1
2023-07-03 00:00:00+00:00,785088.3636805728,0.0018489692368071076,0.0,0,0
2023-07-05 00:00:00+00:00,783717.5417452761,-0.00174607343416755,0.0,0,0
2023-07-06 00:00:00+00:00,787807.0208417329,0.005218052268359141,0.0,0,0
2023-07-07 00:00:00+00:00,787191.694051536,-0.0007810628414295362,0.0,0,0
2023-07-10 00:00:00+00:00,792237.477619595,0.0064098536686652,0.0,0,0
2023-07-11 00:00:00+00:00,789209.3245866607,-0.003822279453419508,0.0,0,0
2023-07-12 00:00:00+00:00,796950.1955689044,0.009808387636952798,0.0,0,0
2023-07-13 00:00:00+00:00,805121.3066962827,0.010252975873285664,0.0,0,0
2023-07-14 00:00:00+00:00,799534.3731021426,-0.006939244493560093,0.0,0,0
2023-07-17 00:00:00+00:00,811580.5859141697,0.015066535245118473,0.0,0,0
2023-07-18 00:00:00+00:00,822820.7374828956,0.013849704839926646,0.0,0,0
2023-07-19 00:00:00+00:00,811372.438232271,-0.013913479241719484,0.0,0,0
2023-07-20 00:00:00+00:00,814139.2757125577,0.0034100708255691004,0.0,0,0
2023-07-21 00:00:00+00:00,803184.4302323436,-0.013455738848400456,0.0,0,0
2023-07-24 00:00:00+00:00,809637.659339284,0.008034554535716776,0.0,0,0
2023-07-25 00:00:00+00:00,818282.6544496998,0.010677609929200527,0.0,0,0
2023-07-26 00:00:00+00:00,819354.5189463365,0.0013098951698511385,0.0,0,0
2023-07-27 00:00:00+00:00,823072.8384167434,0.004538108211313174,0.0,0,0
2023-07-28 00:00:00+00:00,817986.7937816926,-0.00617933723196884,0.0,0,0
2023-07-31 00:00:00+00:00,811548.9479077267,-0.007870354292888515,1.0,1,1
2023-08-01 00:00:00+00:00,813198.3214810858,0.0020323771937742485,0.0,0,0
2023-08-02 00:00:00+00:00,803429.9853469236,-0.012012243355804197,0.0,0,0
2023-08-03 00:00:00+00:00,805443.2522347226,0.0025058398672159754,0.0,0,0
2023-08-04 00:00:00+00:00,808001.9682833123,0.003176780041909133,0.0,0,0
2023-08-07 00:00:00+00:00,803876.34138884,-0.005105961441204898,0.0,0,0
2023-08-08 00:00:00+00:00,797613.9435314804,-0.007790250234930629,0.0,0,0
2023-08-09 00:00:00+00:00,784054.6591414606,-0.0169998086166665,0.0,0,0
2023-08-10 00:00:00+00:00,782434.6845109862,-0.0020661501230644364,0.0,0,0
2023-08-11 00:00:00+00:00,768678.1112694097,-0.017581752846468346,0.0,0,0
2023-08-14 00:00:00+00:00,790690.0415699821,0.028636083137870916,0.0,0,0
2023-08-15 00:00:00+00:00,797045.73568175,0.00803816132444024,0.0,0,0
2023-08-16 00:00:00+00:00,796244.5070632185,-0.0010052479834751216,0.0,0,0
2023-08-17 00:00:00+00:00,791165.9297343739,-0.006378163094117761,0.0,0,0
2023-08-18 00:00:00+00:00,798250.0480072444,0.008954023431277935,0.0,0,0
2023-08-21 00:00:00+00:00,829211.6840456371,0.03878688904020189,0.0,0,0
2023-08-22 00:00:00+00:00,815451.4947730241,-0.016594302199745337,0.0,0,0
2023-08-23 00:00:00+00:00,817987.1550700795,0.003109517013959451,0.0,0,0
2023-08-24 00:00:00+00:00,826397.6601412273,0.010281952496463465,0.0,0,0
2023-08-25 00:00:00+00:00,816047.8391429086,-0.012524020211468145,0.0,0,0
2023-08-28 00:00:00+00:00,819741.9178111589,0.004526791801973573,0.0,0,0
2023-08-29 00:00:00+00:00,825660.732852425,0.007220339612582283,0.0,0,0
2023-08-30 00:00:00+00:00,825703.9070697018,5.229050572341798e-05,0.0,0,0
2023-08-31 00:00:00+00:00,823771.7326432253,-0.002340033043241263,1.0,1,1
2023-09-01 00:00:00+00:00,816383.2563635904,-0.008969082073170487,0.0,0,0
2023-09-05 00:00:00+00:00,819223.4714466765,0.0034790217228821696,0.0,0,0
2023-09-06 00:00:00+00:00,812376.6898847019,-0.00835764818833118,0.0,0,0
2023-09-07 00:00:00+00:00,797827.1922611913,-0.017909792100971655,0.0,0,0
2023-09-08 00:00:00+00:00,790956.1849225685,-0.008612149855595996,0.0,0,0
2023-09-11 00:00:00+00:00,773603.8732868847,-0.02193839806358233,0.0,0,0
2023-09-12 00:00:00+00:00,776021.5042290653,0.0031251536162926197,0.0,0,0
2023-09-13 00:00:00+00:00,771394.2100868488,-0.005962842675105273,0.0,0,0
2023-09-14 00:00:00+00:00,772554.4124577092,0.0015040330296616222,0.0,0,0
2023-09-15 00:00:00+00:00,769866.0944987056,-0.0034797781433301145,0.0,0,0
2023-09-18 00:00:00+00:00,771568.9816318093,0.0022119263924884613,0.0,0,0
2023-09-19 00:00:00+00:00,774132.0991643782,0.003321955124671039,0.0,0,0
2023-09-20 00:00:00+00:00,769319.8480367966,-0.006216317774157876,0.0,0,0
2023-09-21 00:00:00+00:00,775137.0237248675,0.007561452759753395,0.0,0,0
2023-09-22 00:00:00+00:00,781369.5801234031,0.008040586641811398,0.0,0,0
2023-09-25 00:00:00+00:00,780610.4114738666,-0.0009715871577911095,0.0,0,0
2023-09-26 00:00:00+00:00,793464.2519905019,0.016466396460644184,0.0,0,0
2023-09-27 00:00:00+00:00,798736.8485446131,0.00664503352341872,0.0,0,0
2023-09-28 00:00:00+00:00,804576.7230730369,0.0073113873975698684,0.0,0,0
2023-09-29 00:00:00+00:00,804764.2433907088,0.00023306704294867586,0.0,0,0
2023-10-02 00:00:00+00:00,809225.5051842557,0.005543563633928716,0.0,0,0
2023-10-03 00:00:00+00:00,812610.3615707177,0.004182834531013979,0.0,0,0
2023-10-04 00:00:00+00:00,810075.1480325982,-0.0031198390495772443,0.0,0,0
2023-10-05 00:00:00+00:00,819342.3399331459,0.011439916312770082,0.0,0,0
2023-10-06 00:00:00+00:00,822683.3070564735,0.004077620501828472,0.0,0,0
2023-10-09 00:00:00+00:00,817323.4412209517,-0.006515102214361357,0.0,0,0
2023-10-10 00:00:00+00:00,818175.2503131393,0.0010421933952060591,0.0,0,0
2023-10-11 00:00:00+00:00,819754.3995576887,0.0019300867924629816,0.0,0,0
2023-10-12 00:00:00+00:00,819417.0465753042,-0.0004115293343549542,0.0,0,0
2023-10-13 00:00:00+00:00,814329.686798412,-0.00620851103617448,0.0,0,0
2023-10-16 00:00:00+00:00,811349.6062208627,-0.0036595504570952064,0.0,0,0
2023-10-17 00:00:00+00:00,795671.5754846972,-0.019323397233396378,0.0,0,0
2023-10-18 00:00:00+00:00,790005.701779438,-0.007120869815926079,0.0,0,0
2023-10-19 00:00:00+00:00,788284.0292882716,-0.0021793165382077984,0.0,0,0
2023-10-20 00:00:00+00:00,791514.6324887937,0.004098273059570889,0.0,0,0
2023-10-23 00:00:00+00:00,802304.8128431416,0.013632319494107037,0.0,0,0
2023-10-24 00:00:00+00:00,802387.6614245658,0.00010326322377474106,0.0,0,0
2023-10-25 00:00:00+00:00,807451.9162278016,0.006311481403196817,0.0,0,0
2023-10-26 00:00:00+00:00,799464.1012139597,-0.00989262004746827,0.0,0,0
2023-10-27 00:00:00+00:00,773875.9168053359,-0.03200667093090115,0.0,0,0
2023-10-30 00:00:00+00:00,765136.471262967,-0.011293083752297872,0.0,0,0
2023-10-31 00:00:00+00:00,760499.8509028517,-0.006059860605601375,0.0,1,1
2023-11-01 00:00:00+00:00,763734.8662183102,0.004253801380260658,0.0,0,0
2023-11-02 00:00:00+00:00,771407.6947791895,0.010046455779702645,0.0,0,0
2023-11-03 00:00:00+00:00,783216.5523135324,0.015308192560515188,0.0,0,0
2023-11-06 00:00:00+00:00,786486.8055857243,0.004175413891001067,0.0,0,0
2023-11-07 00:00:00+00:00,779882.3463229598,-0.00839741902325486,0.0,0,0
2023-11-08 00:00:00+00:00,786856.1500339581,0.008942122800803087,0.0,0,0
2023-11-09 00:00:00+00:00,794130.5724051787,0.009244920270250923,0.0,0,0
2023-11-10 00:00:00+00:00,797484.5177350777,0.004223417969844601,0.0,0,0
2023-11-13 00:00:00+00:00,802529.8454676807,0.006326552579267952,0.0,0,0
2023-11-14 00:00:00+00:00,802046.7249237437,-0.0006019969807545822,0.0,0,0
